-5100	-5200	RECTANGLE	1	915	391	958	485	video
-5000	-5100	RECTANGLE	1	914	397	958	485	video
-4900	-5000	RECTANGLE	1	916	399	958	484	video
-4800	-4900	RECTANGLE	1	914	396	958	483	video
-4700	-4800	RECTANGLE	1	913	391	958	482	video
-4600	-4700	RECTANGLE	1	910	413	958	481	video
-4500	-4600	RECTANGLE	1	907	414	958	481	video
-4400	-4500	RECTANGLE	1	904	411	958	481	video
-4300	-4400	RECTANGLE	1	904	408	939	463	video
-4200	-4300	RECTANGLE	1	902	407	937	458	video
-4100	-4200	RECTANGLE	1	898	405	932	454	video
-4000	-4100	RECTANGLE	1	894	405	928	453	video
-3900	-4000	RECTANGLE	1	889	407	924	453	video
-3800	-3900	RECTANGLE	1	887	402	919	450	video
-3700	-3800	RECTANGLE	1	882	403	914	449	video
-3600	-3700	RECTANGLE	1	879	404	909	450	video
-3500	-3600	RECTANGLE	1	873	410	905	450	video
-3400	-3500	RECTANGLE	1	871	413	901	447	video
-3300	-3400	RECTANGLE	1	865	410	896	447	video
-3200	-3300	RECTANGLE	1	857	405	890	448	video
-3100	-3200	RECTANGLE	1	851	404	882	446	video
-3000	-3100	RECTANGLE	1	842	402	872	444	video
-2900	-3000	RECTANGLE	1	830	400	860	441	video
-2800	-2900	RECTANGLE	1	819	400	847	438	video
-2700	-2800	RECTANGLE	1	805	399	847	449	video
-2600	-2700	RECTANGLE	1	792	399	819	434	video
-2500	-2600	RECTANGLE	1	776	403	803	434	video
-2400	-2500	RECTANGLE	1	760	404	786	434	video
-2300	-2400	RECTANGLE	1	744	399	769	433	video
-2200	-2300	RECTANGLE	1	727	400	751	430	video
-2100	-2200	RECTANGLE	1	709	398	734	425	video
-2000	-2100	RECTANGLE	1	693	388	718	419	video
-1900	-2000	RECTANGLE	1	677	389	702	415	video
-1800	-1900	RECTANGLE	1	661	385	686	409	video
-1700	-1800	RECTANGLE	1	645	382	669	405	video
-1600	-1700	RECTANGLE	1	629	384	653	404	video
-1500	-1600	RECTANGLE	1	614	388	637	405	video
-1400	-1500	RECTANGLE	1	593	377	637	465	video
-1300	-1400	RECTANGLE	1	591	409	623	464	video
-1200	-1300	RECTANGLE	1	574	396	617	438	video
-1100	-1200	RECTANGLE	1	578	402	600	417	video
-1000	-1100	RECTANGLE	1	565	397	604	423	video
-900	-1000	RECTANGLE	1	275	244	275	244	video
-800	-900	RECTANGLE	1	275	244	275	244	video
-700	-800	RECTANGLE	1	275	244	275	244	video
-600	-700	RECTANGLE	1	275	244	275	244	video
-500	-600	RECTANGLE	1	275	244	275	244	video
-400	-500	RECTANGLE	1	275	244	275	244	video
-300	-400	RECTANGLE	1	275	244	275	244	video
-200	-300	RECTANGLE	1	275	244	275	244	video
-100	-200	RECTANGLE	1	275	244	275	244	video
0	-100	RECTANGLE	1	275	244	275	244	video
