-5100	-5200	RECTANGLE	1	762	372	839	434	video
-5000	-5100	RECTANGLE	1	762	371	837	433	video
-4900	-5000	RECTANGLE	1	762	371	837	433	video
-4800	-4900	RECTANGLE	1	761	372	840	431	video
-4700	-4800	RECTANGLE	1	761	371	838	429	video
-4600	-4700	RECTANGLE	1	762	372	835	429	video
-4500	-4600	RECTANGLE	1	762	372	834	427	video
-4400	-4500	RECTANGLE	1	762	371	833	426	video
-4300	-4400	RECTANGLE	1	761	370	833	422	video
-4200	-4300	RECTANGLE	1	761	367	831	418	video
-4100	-4200	RECTANGLE	1	761	367	828	416	video
-4000	-4100	RECTANGLE	1	761	368	827	418	video
-3900	-4000	RECTANGLE	1	760	366	826	416	video
-3800	-3900	RECTANGLE	1	760	365	824	414	video
-3700	-3800	RECTANGLE	1	760	367	821	414	video
-3600	-3700	RECTANGLE	1	759	370	819	423	video
-3500	-3600	RECTANGLE	1	759	371	816	415	video
-3400	-3500	RECTANGLE	1	758	372	812	414	video
-3300	-3400	RECTANGLE	1	757	373	812	418	video
-3200	-3300	RECTANGLE	1	754	372	810	419	video
-3100	-3200	RECTANGLE	1	749	372	805	420	video
-3000	-3100	RECTANGLE	1	743	371	799	412	video
-2900	-3000	RECTANGLE	1	734	371	792	414	video
-2800	-2900	RECTANGLE	1	714	370	782	442	video
-2700	-2800	RECTANGLE	1	701	370	770	443	video
-2600	-2700	RECTANGLE	1	664	370	758	459	video
-2500	-2600	RECTANGLE	1	679	372	766	458	video
-2400	-2500	RECTANGLE	1	634	373	751	465	video
-2300	-2400	RECTANGLE	1	628	373	730	452	video
-2200	-2300	RECTANGLE	1	636	370	768	457	video
-2100	-2200	RECTANGLE	1	702	413	702	413	video
-2000	-2100	RECTANGLE	1	702	413	702	413	video
-1900	-2000	RECTANGLE	1	537	358	741	480	video
-1800	-1900	RECTANGLE	1	579	355	741	477	video
-1700	-1800	RECTANGLE	1	564	351	689	458	video
-1600	-1700	RECTANGLE	1	557	350	667	467	video
-1500	-1600	RECTANGLE	1	545	354	655	476	video
-1400	-1500	RECTANGLE	1	525	356	650	480	video
-1300	-1400	RECTANGLE	1	522	351	634	480	video
-1200	-1300	RECTANGLE	1	508	345	626	480	video
-1100	-1200	RECTANGLE	1	489	345	621	463	video
-1000	-1100	RECTANGLE	1	555	404	555	404	video
-900	-1000	RECTANGLE	1	550	396	623	451	video
-800	-900	RECTANGLE	1	535	395	618	450	video
-700	-800	RECTANGLE	1	369	350	589	470	video
-600	-700	RECTANGLE	1	373	348	521	468	video
-500	-600	RECTANGLE	1	378	344	509	455	video
-400	-500	RECTANGLE	1	375	342	512	464	video
-300	-400	RECTANGLE	1	377	338	493	462	video
-200	-300	RECTANGLE	1	363	333	500	469	video
-100	-200	RECTANGLE	1	364	330	503	468	video
0	-100	RECTANGLE	1	354	327	498	475	video
