-5100	-5200	RECTANGLE	1	685	393	751	456	video
-5000	-5100	RECTANGLE	1	685	394	758	456	video
-4900	-5000	RECTANGLE	1	683	392	759	455	video
-4800	-4900	RECTANGLE	1	681	393	767	454	video
-4700	-4800	RECTANGLE	1	687	386	755	451	video
-4600	-4700	RECTANGLE	1	685	392	754	451	video
-4500	-4600	RECTANGLE	1	685	393	752	450	video
-4400	-4500	RECTANGLE	1	686	391	753	448	video
-4300	-4400	RECTANGLE	1	688	392	750	444	video
-4200	-4300	RECTANGLE	1	677	387	748	440	video
-4100	-4200	RECTANGLE	1	688	385	746	438	video
-4000	-4100	RECTANGLE	1	688	385	746	438	video
-3900	-4000	RECTANGLE	1	674	381	745	436	video
-3800	-3900	RECTANGLE	1	676	379	742	434	video
-3700	-3800	RECTANGLE	1	676	381	740	432	video
-3600	-3700	RECTANGLE	1	672	383	737	434	video
-3500	-3600	RECTANGLE	1	677	387	736	434	video
-3400	-3500	RECTANGLE	1	684	385	735	434	video
-3300	-3400	RECTANGLE	1	680	384	733	434	video
-3200	-3300	RECTANGLE	1	681	384	733	464	video
-3100	-3200	RECTANGLE	1	677	385	726	433	video
-3000	-3100	RECTANGLE	1	670	382	722	427	video
-2900	-3000	RECTANGLE	1	655	378	725	466	video
-2800	-2900	RECTANGLE	1	613	379	750	472	video
-2700	-2800	RECTANGLE	1	600	380	715	469	video
-2600	-2700	RECTANGLE	1	605	381	699	469	video
-2500	-2600	RECTANGLE	1	587	381	684	475	video
-2400	-2500	RECTANGLE	1	557	383	673	479	video
-2300	-2400	RECTANGLE	1	564	382	665	479	video
-2200	-2300	RECTANGLE	1	519	387	647	472	video
-2100	-2200	RECTANGLE	1	506	372	679	477	video
-2000	-2100	RECTANGLE	1	494	369	744	478	video
-1900	-2000	RECTANGLE	1	619	423	619	423	video
-1800	-1900	RECTANGLE	1	619	423	619	423	video
-1700	-1800	RECTANGLE	1	609	376	689	456	video
-1600	-1700	RECTANGLE	1	649	416	649	416	video
-1500	-1600	RECTANGLE	1	649	416	649	416	video
-1400	-1500	RECTANGLE	1	649	416	649	416	video
-1300	-1400	RECTANGLE	1	649	416	649	416	video
-1200	-1300	RECTANGLE	1	649	416	649	416	video
-1100	-1200	RECTANGLE	1	649	416	649	416	video
-1000	-1100	RECTANGLE	1	649	416	649	416	video
-900	-1000	RECTANGLE	1	649	416	649	416	video
-800	-900	RECTANGLE	1	649	416	649	416	video
-700	-800	RECTANGLE	1	649	416	649	416	video
-600	-700	RECTANGLE	1	649	416	649	416	video
-500	-600	RECTANGLE	1	649	416	649	416	video
-400	-500	RECTANGLE	1	649	416	649	416	video
-300	-400	RECTANGLE	1	649	416	649	416	video
-200	-300	RECTANGLE	1	649	416	649	416	video
-100	-200	RECTANGLE	1	649	416	649	416	video
0	-100	RECTANGLE	1	649	416	649	416	video
