0	-100	RECTANGLE	1	708	671	787	728	video
-100	-200	RECTANGLE	1	705	671	784	730	video
-200	-300	RECTANGLE	1	700	671	780	727	video
-300	-400	RECTANGLE	1	690	669	767	724	video
-400	-500	RECTANGLE	1	683	671	755	725	video
-500	-600	RECTANGLE	1	662	669	743	722	video
-600	-700	RECTANGLE	1	668	668	737	717	video
-700	-800	RECTANGLE	1	665	666	731	711	video
-800	-900	RECTANGLE	1	651	660	728	709	video
-900	-1000	RECTANGLE	1	658	661	726	706	video
-1000	-1100	RECTANGLE	1	655	660	724	705	video
-1100	-1200	RECTANGLE	1	657	659	723	702	video
-1200	-1300	RECTANGLE	1	654	657	720	702	video
-1300	-1400	RECTANGLE	1	651	661	720	700	video
-1400	-1500	RECTANGLE	1	652	660	720	700	video
-1500	-1600	RECTANGLE	1	650	656	719	696	video
-1600	-1700	RECTANGLE	1	647	651	716	690	video
-1700	-1800	RECTANGLE	1	645	652	716	690	video
-1800	-1900	RECTANGLE	1	646	651	717	691	video
-1900	-2000	RECTANGLE	1	647	653	716	691	video
-2000	-2100	RECTANGLE	1	647	651	725	689	video
-2100	-2200	RECTANGLE	1	645	651	723	689	video
-2200	-2300	RECTANGLE	1	646	652	719	687	video
-2300	-2400	RECTANGLE	1	642	654	715	691	video
-2400	-2500	RECTANGLE	1	640	657	713	689	video
-2500	-2600	RECTANGLE	1	637	656	714	689	video
-2600	-2700	RECTANGLE	1	651	656	722	683	video
-2700	-2800	RECTANGLE	1	669	658	715	679	video
-2800	-2900	RECTANGLE	1	669	660	716	684	video
-2900	-3000	RECTANGLE	1	672	663	715	682	video
