-4600	-4700	RECTANGLE	1	833	547	888	625	video
-4500	-4600	RECTANGLE	1	830	546	881	623	video
-4400	-4500	RECTANGLE	1	824	545	876	621	video
-4300	-4400	RECTANGLE	1	810	544	858	615	video
-4200	-4300	RECTANGLE	1	796	542	843	613	video
-4100	-4200	RECTANGLE	1	785	541	831	609	video
-4000	-4100	RECTANGLE	1	777	539	822	603	video
-3900	-4000	RECTANGLE	1	770	535	815	597	video
-3800	-3900	RECTANGLE	1	766	533	809	593	video
-3700	-3800	RECTANGLE	1	763	531	806	591	video
-3600	-3700	RECTANGLE	1	761	529	803	588	video
-3500	-3600	RECTANGLE	1	759	527	800	585	video
-3400	-3500	RECTANGLE	1	756	527	796	582	video
-3300	-3400	RECTANGLE	1	755	526	794	579	video
-3200	-3300	RECTANGLE	1	754	524	791	576	video
-3100	-3200	RECTANGLE	1	752	522	788	572	video
-3000	-3100	RECTANGLE	1	751	521	786	569	video
-2900	-3000	RECTANGLE	1	748	520	784	566	video
-2800	-2900	RECTANGLE	1	746	520	782	566	video
-2700	-2800	RECTANGLE	1	745	520	779	564	video
-2600	-2700	RECTANGLE	1	743	520	777	562	video
-2500	-2600	RECTANGLE	1	742	520	775	560	video
-2400	-2500	RECTANGLE	1	740	521	771	559	video
-2300	-2400	RECTANGLE	1	738	523	768	561	video
-2200	-2300	RECTANGLE	1	736	523	766	558	video
-2100	-2200	RECTANGLE	1	734	523	763	556	video
-2000	-2100	RECTANGLE	1	731	519	759	551	video
-1900	-2000	RECTANGLE	1	745	535	745	535	video
-1800	-1900	RECTANGLE	1	745	535	745	535	video
-1700	-1800	RECTANGLE	1	745	535	745	535	video
-1600	-1700	RECTANGLE	1	745	535	745	535	video
-1500	-1600	RECTANGLE	1	745	535	745	535	video
-1400	-1500	RECTANGLE	1	745	535	745	535	video
-1300	-1400	RECTANGLE	1	745	535	745	535	video
-1200	-1300	RECTANGLE	1	745	535	745	535	video
-1100	-1200	RECTANGLE	1	745	535	745	535	video
-1000	-1100	RECTANGLE	1	745	535	745	535	video
-900	-1000	RECTANGLE	1	745	535	745	535	video
-800	-900	RECTANGLE	1	745	535	745	535	video
-700	-800	RECTANGLE	1	745	535	745	535	video
-600	-700	RECTANGLE	1	745	535	745	535	video
-500	-600	RECTANGLE	1	745	535	745	535	video
-400	-500	RECTANGLE	1	745	535	745	535	video
-300	-400	RECTANGLE	1	745	535	745	535	video
-200	-300	RECTANGLE	1	745	535	745	535	video
-100	-200	RECTANGLE	1	745	535	745	535	video
0	-100	RECTANGLE	1	745	535	745	535	video
