0	-100	RECTANGLE	1	613	658	688	739	video
-100	-200	RECTANGLE	1	615	657	689	736	video
-200	-300	RECTANGLE	1	616	658	689	734	video
-300	-400	RECTANGLE	1	623	658	692	732	video
-400	-500	RECTANGLE	1	625	662	694	733	video
-500	-600	RECTANGLE	1	631	661	697	733	video
-600	-700	RECTANGLE	1	635	661	700	734	video
-700	-800	RECTANGLE	1	643	664	700	733	video
-800	-900	RECTANGLE	1	646	662	707	735	video
-900	-1000	RECTANGLE	1	652	664	712	737	video
-1000	-1100	RECTANGLE	1	659	665	715	735	video
-1100	-1200	RECTANGLE	1	667	665	718	733	video
-1200	-1300	RECTANGLE	1	671	668	722	733	video
-1300	-1400	RECTANGLE	1	679	668	727	731	video
-1400	-1500	RECTANGLE	1	685	667	731	724	video
-1500	-1600	RECTANGLE	1	691	664	734	721	video
-1600	-1700	RECTANGLE	1	697	663	738	717	video
-1700	-1800	RECTANGLE	1	702	661	742	715	video
-1800	-1900	RECTANGLE	1	705	663	744	715	video
-1900	-2000	RECTANGLE	1	709	666	746	716	video
